stock,estimated-var,empirical-var
1,-9.627047731801621,-7.530826337867793
2,-6.996677473854746,-6.073413168811085
3,-5.846612252764375,-5.832174488753282
4,-5.634903911625886,-5.722647655123482
5,-5.071143563471284,-4.180309061409163
6,-5.637357366837136,-5.029871487915829
7,-6.136059202816525,-5.45721643417416
8,-5.3575932864406175,-5.010826688632034
9,-7.36868235652209,-6.847456571094525
10,-3.8958476347030313,-3.6972728766906124
11,-7.448014432452244,-6.454695532208536
12,-4.220596375106969,-3.897427429127151
13,-4.1688810582848,-4.129769537923763
14,-4.495262747879891,-4.305951825504438
15,-5.346426896395286,-4.666283939639812
16,-5.430864393876078,-5.569308332969271
17,-5.658652628163366,-5.51506441753354
18,-4.684004276308261,-4.651532994836782
19,-3.763082500066106,-3.6735517803652917
20,-4.705951646740642,-4.698956254790831
21,-5.635401428095743,-4.85981780119599
22,-4.389001909935186,-4.299304270150516
23,-5.280445022322603,-4.931319588537756
24,-4.751059205873084,-4.426207748611691
25,-4.6942757722137065,-4.305951825504448
