stock,mu,w_1,w_2,w_3,loglik,AIC,BIC
1,-0.2000547350018817,0.7123573443723612,1.0625405481996455,-1.5231408454665976,-18632.86554461887,37273.73108923774,37301.67987652039
2,0.459030206100362,-0.5638368579252727,1.0915680933595533,-0.9696157858208548,-16703.977669336848,33415.955338673695,33443.904125956346
3,0.6292118263814287,-0.7489150550325826,0.9738574304394968,-0.8348837650070925,-16402.070761337505,32812.14152267501,32840.09030995766
4,0.5224121772837175,-0.7739808148040075,1.0580368722782458,-0.7767651770929536,-16619.699429910477,33247.398859820954,33275.347647103605
5,0.6897374821311992,-0.6902698391058667,0.7186037484987419,-0.6902043392858445,-14751.103231915093,29510.206463830185,29538.155251112832
6,0.39270480977982625,-0.6333810314003806,0.9739132096074882,-0.7083471632180063,-15684.165356976464,31376.330713952928,31404.279501235575
7,0.6275505477124582,-0.756138542466597,0.94398073404848,-0.7571606308209629,-16084.634985104312,32177.269970208625,32205.21875749127
8,0.39903261284916985,-0.5284038178623908,0.8733993443894289,-0.7277715116003429,-14998.362554898938,30004.725109797877,30032.673897080524
9,0.639258227425137,-0.8743853778865076,1.21114432937813,-0.9485165172225639,-17809.78426806879,35627.56853613758,35655.51732342023
10,0.23420804783545265,-0.40191074220086337,0.7432558409209802,-0.5351253382698817,-13195.657475564654,26399.31495112931,26427.263738411955
11,0.3958165319897768,-0.5421504902253818,1.1772663632522882,-1.0105194839951572,-17049.28396515307,34106.56793030614,34134.51671758879
12,0.3285579740141291,-0.4678475977622354,0.7245548702722338,-0.5564599784136002,-13415.431890573647,26838.863781147295,26866.81256842994
13,0.40462376110689846,-0.5527396204483166,0.7779922523443523,-0.5897283251815258,-14143.12160280969,28294.24320561938,28322.191992902026
14,0.2944716106982854,-0.3963646323516625,0.7708015355750142,-0.641699814148593,-13768.467202335225,27544.93440467045,27572.883191953097
15,0.4440965177211478,-0.6285490091250473,0.8458344012113442,-0.6340666878654524,-14922.16297175996,29852.32594351992,29880.27473080257
16,0.3809270340680186,-0.5816166419901821,1.0876174562336358,-0.8244658418876608,-16331.3771440596,32670.7542881192,32698.703075401845
17,0.48435554177625595,-0.6212848665125056,1.0378029726893403,-0.8486062182333697,-16291.663194286293,32591.326388572586,32619.275175855233
18,0.34884869356667225,-0.6191284678298118,0.9210738544287622,-0.6186518959392693,-15143.341918162987,30294.683836325974,30322.63262360862
19,0.3155516857130676,-0.4390237979581462,0.7077160304673179,-0.5448867302989869,-13178.742061881047,26365.484123762093,26393.43291104474
20,0.21933737232580705,0.47938622764085864,-1.1416724064186792,0.4779744410393446,-15282.435569503315,30572.87113900663,30600.819926289278
21,0.5154931584132759,-0.6245320283355286,0.7890854267542633,-0.6485856888966011,-14656.688176155383,29321.376352310766,29349.325139593413
22,0.4132238661679005,-0.5768382010868315,0.7682443696594315,-0.5907628493440886,-14201.917141440732,28411.834282881464,28439.78307016411
23,0.34753973991918025,-0.6606572780645535,0.9794049981439497,-0.6412039708087074,-15579.699736553144,31167.39947310629,31195.348260388935
24,0.4623520894593933,-0.622641305198468,0.8070900637495887,-0.6154531679373287,-14597.108749072953,29202.217498145907,29230.166285428553
25,0.4262240771817255,-0.5878723568249832,0.776004172643897,-0.5929590973779172,-14301.45553283882,28610.91106567764,28638.859852960286
