stock,mu,w_1,w_2,w_3,w_4,log-likelihood,AIC,BIC
1,0.000278570087216461,-0.895800062444592,0.944892328050871,-0.895783431163087,0.944890571709714,-18400.608465303,36811.216930606,36846.1529147093
2,-0.000151772465591521,-0.417668343411509,0.509872707745637,-0.980238424232524,0.926018298400149,-16543.1895337992,33096.3790675983,33131.3150517016
3,0.000114229722777147,-0.564086409842194,0.6796582163825,-0.798058931583298,0.727268798291129,-16168.8296803767,32347.6593607534,32382.5953448567
4,-6.93125854080779e-05,-0.706080108593817,0.734442218798994,-0.706069904411005,0.734439722176605,-16458.4955986967,32926.9911973934,32961.9271814967
5,0.000487646142639802,0.575679930009518,-0.553668102697182,-0.553679898938055,0.575682221400196,-14515.4453201285,29040.890640257,29075.8266243603
6,9.63937300449428e-05,-0.503214472616784,0.523422429986876,-0.753019835144953,0.769034349507851,-15550.5841811127,31111.1683622255,31146.1043463288
7,0.000257372947794693,-0.514511427481803,0.690384909118608,-0.789659815203034,0.690552625946975,-15938.5769746582,31887.1539493164,31922.0899334197
8,0.000323295472101274,0.736219957475551,-0.733191401495274,-0.414896450477619,0.449382323680204,-14902.7736151269,29815.5472302539,29850.4832143572
9,0.000378114807889597,-0.813890564456904,0.854482766809751,-0.813880968716925,0.854483961199249,-17621.9014128997,35253.8028257995,35288.7388099028
10,9.46016787565003e-07,0.481716574500834,-0.370124297623941,-0.542894471679387,0.481622513098876,-13069.2308976144,26148.4617952287,26183.397779332
11,9.46799225827397e-05,-0.461567543051644,0.47406329365162,-0.991710410427293,1.02170365138942,-16873.9697440334,33757.9394880667,33792.87547217
12,0.000115684144335135,0.419639346556213,-0.341344919753727,-0.602847335999068,0.561336816369488,-13331.5916002487,26673.1832004974,26708.1191846007
13,0.000454558170970594,0.572951375896093,-0.584320726880016,-0.4490378962127,0.512295532204545,-14025.202572524,28060.405145048,28095.3411291513
14,0.000233449076342128,0.472468828550224,-0.336641116774382,-0.650105190567678,0.553464359233217,-13662.6722769338,27335.3445538676,27370.2805379709
15,-6.77819986972368e-05,0.589984875017654,-0.674954439326867,0.58998090560548,-0.464150804390203,-14759.8354897111,29529.6709794223,29564.6069635256
16,-0.000148633064869143,-0.57478730194398,0.662809496135337,-0.765947181202068,0.767923682558386,-16174.3334713625,32358.666942725,32393.6029268283
17,6.08366875186275e-06,-0.511725187560473,0.50908949413038,-0.81841469929868,0.896808981497107,-16164.0970298204,32338.1940596407,32373.130043744
18,-0.000357797485845254,-0.550465033352622,0.611275869297414,-0.624199496610674,0.611111538615875,-14996.239090214,30002.478180428,30037.4141645313
19,-7.43278416673277e-05,0.417038752992299,-0.323836804971498,-0.583244902297619,0.537229027933387,-13061.9779213625,26133.9558427251,26168.8918268284
20,-0.000118222243243794,0.643380495663473,-0.724343018080348,-0.406939939711658,0.536329563075892,-14780.8206974294,29571.6413948588,29606.5773789621
21,0.153816680930903,0.742282686249689,-0.691912114965645,-0.466727299190219,0.307477915152444,-14523.7226203781,29057.4452407561,29092.3812248594
22,0.000270894341905966,0.599775552306314,-0.55003737914505,-0.508698484709611,0.485231691684713,-14109.7128233884,28229.4256467768,28264.3616308801
23,-0.000153408643152569,-0.620133206238955,0.585484501419832,-0.62013278339812,0.705651806243984,-15435.7774763179,30881.5549526358,30916.4909367391
24,0.000174160109028477,0.702029956389177,-0.650315375432359,-0.44137261742796,0.434876968688679,-14498.236329114,29006.4726582281,29041.4086423314
25,4.34269653056009e-05,0.553821064888272,-0.610142790850845,-0.450675318170211,0.54069298863599,-14162.4219942725,28334.843988545,28369.7799726484
