stock,mu,sigma,log-likelihood,AIC,BIC
1,0.03516940629621243,3.0633122040110488,-20307.482267093583,40618.964534187166,40632.93892782849
2,0.019194726512498924,2.226284048110166,-17754.17906111027,35512.35812222054,35526.33251586186
3,0.01553615913234131,2.116203891061659,-17348.499195145094,34700.99839029019,34714.97278393151
4,0.0299429884583959,2.030957234951452,-17019.566075418785,34043.13215083757,34057.10654447889
5,0.02348184991089494,1.6591569491255493,-15401.98515675994,30807.97031351988,30821.944707161205
6,0.022740683116709626,1.8801893837998722,-16402.488328294046,32808.97665658809,32822.951050229414
7,0.05048424077001147,2.0092933062075304,-16933.772836018346,33871.54567203669,33885.520065678014
8,0.015925818097636244,1.7481796861700778,-15820.10880357399,31644.21760714798,31658.192000789306
9,0.02543349018753495,2.4228161340564536,-18430.952708541616,36865.90541708323,36879.87981072455
10,0.03812382616776613,1.356904496697296,-13793.156266543012,27590.312533086024,27604.28692672735
11,0.02084672358215444,2.368709707847833,-18250.271304232476,36504.54260846495,36518.51700210627
12,0.02893911428931602,1.4129960074359749,-14117.20649047425,28238.4129809485,28252.387374589824
13,0.03773327313308408,1.5303579471323583,-14755.521548964145,29515.04309792829,29529.017491569615
14,0.027501777419239554,1.4749649013645125,-14460.581816226062,28925.163632452124,28939.13802609345
15,0.021212249004815553,1.7112682375733899,-15649.38630580369,31302.77261160738,31316.747005248704
16,0.06241138629917299,2.0064327054788476,-16922.37524084688,33848.75048169376,33862.72487533508
17,0.04779438853012252,2.050392448444123,-17095.75797038759,34195.51594077518,34209.4903344165
18,0.03173737884440419,1.6832606477152847,-15517.370458531906,31038.740917063813,31052.715310705138
19,0.03380239549440678,1.4502387262541243,-14325.333719052995,28654.66743810599,28668.641831747314
20,0.02227633751491318,1.9610946453309566,-16739.53074451192,33483.06148902384,33497.035882665165
21,0.024920197547785725,1.7512788192693944,-15834.278465101728,31672.556930203456,31686.53132384478
22,0.015539199911249878,1.5254725629007186,-14729.94218059149,29463.88436118298,29477.858754824305
23,0.02432086060244609,1.814468310391652,-16117.848128581147,32239.696257162293,32253.67065080362
24,0.03179535539125899,1.6228263832624807,-15224.862746297214,30453.72549259443,30467.699886235754
25,0.020985414767759634,1.550370920133233,-14859.461910552967,29722.923821105935,29736.89821474726
