stock,df,nc,mu,sigma,log-likelihood,AIC,BIC
1,3.244760942387329,-0.0596978223975496,0.19421049769756688,1.7630659317076822,-18503.26015363695,37014.5203072739,37042.46909455655
2,2.688342303811262,-0.07506418003853751,0.15950649858837593,1.2955170307633557,-16605.770415987467,33219.54083197493,33247.48961925758
3,3.2612397584987076,0.028082482982840037,-0.006172134904007175,1.320782612906699,-16177.164857126949,32362.329714253898,32390.278501536544
4,3.7783610678860766,-0.03900964221013266,0.10909556441729554,1.428539899521424,-16436.155633529022,32880.311267058045,32908.260054340695
5,3.944276870265078,-0.10735346127805559,0.17905515808617273,1.1291739374776797,-14461.196366530108,28930.392733060216,28958.341520342863
6,3.2640726792334256,0.01915767450429596,-0.002266005641565023,1.2185464312313898,-15530.5295221878,31069.0590443756,31097.007831658248
7,3.2161980992662103,-0.042228364876067195,0.13011099872931003,1.2770909732003828,-15946.943883362172,31901.887766724343,31929.83655400699
8,3.020036657107629,-0.04536096246571521,0.08795671174812157,1.0906398653930798,-14863.235349182181,29734.470698364363,29762.41948564701
9,3.4813767391379833,-0.0785055675562062,0.20439686577345684,1.6189984639523622,-17637.62025346243,35283.24050692486,35311.189294207514
10,3.3142888402218125,-0.003179744366968452,0.045704393960810885,0.9026683090125511,-13088.944033390504,26185.888066781008,26213.836854063655
11,2.609781702860209,-0.03328505983990829,0.0826935046307457,1.3388272071025387,-16966.460298017802,33940.920596035605,33968.869383318255
12,3.177749744603484,-0.020936113297338133,0.05783019491963844,0.9138251571161011,-13301.997787590626,26611.995575181252,26639.9443624639
13,3.5278936680703703,-0.03499651829103401,0.08485809157327162,1.0313176490065992,-13994.464904695207,27996.929809390414,28024.87859667306
14,3.1735689217813006,-0.0810505179969792,0.1357588597214377,0.9532178235907165,-13646.03457870847,27300.06915741694,27328.017944699586
15,3.611558562742498,-0.04752606898492657,0.10193924271801111,1.1367463890546894,-14715.837841644305,29439.67568328861,29467.624470571256
16,3.330074493235387,0.045537038205166865,-0.004027383971204831,1.3333135603599673,-16197.678448855095,32403.35689771019,32431.305684992836
17,2.99906135862921,0.02788035838924676,0.004580355795926175,1.2801612466331607,-16165.038423205031,32338.076846410062,32366.02563369271
18,3.7136426626166186,0.029427738125504393,-0.00459621056298975,1.185105140512142,-14981.801699519834,29971.603399039668,29999.552186322315
19,3.188466254423303,0.0457156179527297,-0.0045109310192624485,0.8862508685818766,-13047.901831789795,26103.80366357959,26131.752450862237
20,3.1305241470701137,-0.03663233075798287,0.09543694474651923,1.0967078219074,-14803.773320843615,29615.54664168723,29643.495428969876
21,2.819611438794092,-0.07451771252926531,0.1313176119735996,1.01645308745297,-14510.522139149625,29029.04427829925,29056.993065581897
22,3.5103139471255878,0.020913996567525156,-0.00671625309172441,1.0417897298293148,-14087.008009421977,28182.016018843955,28209.9648061266
23,3.6290138189402086,0.021242157207574552,-0.0029017464802010605,1.2436564080037422,-15422.55581709604,30853.11163419208,30881.060421474725
24,3.2056021285990806,0.007626916899375901,0.019935476267393865,1.0628769464771366,-14486.351458689613,28980.702917379225,29008.651704661872
25,3.754683223013811,-0.08017036141468553,0.13112043917704563,1.062531225522191,-14084.819171656136,28177.638343312272,28205.58713059492
